house_number,city,postcode,country,country,country,unknown,telephone_nr,unknown,unknown,unknown,unknown,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,unknown,date,date,date,date
102,TIEL,8911 DH,NL,DUITSLAND,NL - NEDERLAND,,079-7973616,Bedrijven: Groot > 250,870 - NIET MEER GEBRUIKEN,CUS,Klant,Publiekrechtelijke rechtspersoon,9407TK,BLADEL,1.0,4191AH,BRIELLE,NLD,0347 352269,,m,17122.0,4666.0,6420.0,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",Projectontwikkeling,,7.0,8-12-2016,17-2-2011,,11-5-2001
12,LEIDEN,8071 GJ,NL,NEDERLAND,NL - NEDERLAND,,043-4070700,Overheid: Gemeentes > 100000,640 - Onderwijs: Overige,CUS,Dealer,Stichting,6708PB,DE STEEG,70.0,1025XE,ROTTERDAM,NLD,045  4000400,,,70221.0,,,Natte waterbouw,,,3.0,4-5-2010,,,17-2-2015
11,S HERTOGENBOSCH,3011 XZ,NL,NEDERLAND,NL - NEDERLAND,,0416 684198,,750 - Bedrijven: Klein <100,,,,2492JP,LEIDEN,1.0,7050AA,'S-GRAVENHAGE,NLD,,06 13569365,m,8411.0,,,Overige belangenbehartiging n.e.g.,,,1.0,5-8-2011,24-3-2006,,25-10-2001
1,GRONINGEN,1081 KM,NL,NEDERLAND,NL - NEDERLAND,NL007513306B01,,Onderwijs: MBO,740 - Bedrijven: Middel >100 < 250,DEA,Overige,Besloten Vennootschap met gewone structuur,8224KT,AMSTERDAM,100.0,3140AE,CULEMBORG,NLD,020  6403123,,,19201.0,70101.0,,Administratiekantoren voor aandelen en obligaties,,,6.0,29-12-2005,4-9-1997,,1-9-1970
11,HOLTUM,4191 NZ,NL,NEDERLAND,NL - NEDERLAND,,0313-429911,Overheid: Gemeentes > 100000,620 - Onderwijs: MBO,CUS,Dealer,Besloten Vennootschap met gewone structuur,5631KA,,800.0,1083HJ,,NLD,,,m,93291.0,4637.0,6201.0,Financiële holdings,,,6.0,12-5-2010,30-3-2001,30-3-2001,
,HILVERSUM,1101 CB,NL,NEDERLAND,NL - NEDERLAND,,0317-681681,Partners / dealers,590 - Overheid: Overige,CUS,Klant,Naamloze Vennootschap met gewone structuur,5615CW,ARNHEM,18.0,8917DD,,NLD,,,m,90011.0,,,Winkels gespecialiseerd in overige artikelen n.e.g.,,,2.0,10-9-2008,3-3-1989,,17-9-1879
178,AMSTERDAM,4837 CA,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Groot > 250,600 - Onderwijs: WO,CUS,Architect,Stichting,1096BC,ALKMAAR,1.0,2600AP,DRACHTEN-AZEVEN,NLD,,,f,71112.0,,6209.0,Levensverzekeringen (geen herverzekering),,"Groothandel in computers, randapparatuur en software",8.0,22-4-2010,27-6-1975,,1-7-1976
17,'S-GRAVENHAGE,5462 GE,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: ZBO's,750 - Bedrijven: Klein <100,,Klant,Eenmanszaak,9351VJ,VEENENDAAL,11.0,7400AM,HOUTEN,NLD,073  6158615,,,,,,Middelbaar beroepsonderwijs en educatie (gecombineerd),Groothandel in verlichtingsartikelen,,,,4-1-2010,,0-0-1910
145,ZWOLLE,1185 MC,NL,NEDERLAND,US - United States of America,,+31 10 2700897,Overige,,DEA,,Vennootschap onder firma,1101CB,ALBLASSERDAM,31.0,3951LA,,NLD,,,,4665.0,,,"Ontwikkelen, produceren en uitgeven van software",Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen,,1.0,21-8-2003,29-2-2008,,3-7-1995
2,AMSTERDAM,4100 AA,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: ZBO's,750 - Bedrijven: Klein <100,OVE,Klant,Eenmanszaak,2514JG,BUNNIK,18.0,4140AA,,NLD,024  3293635,,,8411.0,,,Vervaardiging van elektronische componenten,,,1.0,21-4-2009,21-6-2006,,2-3-1937
30,ROTTERDAM,7420 AC,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Overige,730 - Bedrijven: Groot > 250,CUS,Klant,Publiekrechtelijke rechtspersoon,2984AM,'S-GRAVENHAGE,22.0,5036CS,LEIDEN,NLD,035  6718711,06 14373825,,4666.0,,,Reclamebureaus,,Groothandel in overige consumentenartikelen (non-food) n.e.g.,1.0,7-4-2017,20-10-1987,1-1-2005,30-5-1996
2,GRONINGEN,,NL,DENEMARKEN,NL - NEDERLAND,,020 5404911,,590 - Overheid: Overige,OVE,Klant en Partner,Publiekrechtelijke rechtspersoon,3011XZ,NOOTDORP,100.0,,UTRECHT,NLD,,,,86923.0,31011.0,,Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe),,,1.0,,21-1-2011,,21-9-1987
25,BROOKLYN,6827 BM,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Gemeentes < 100000,740 - Bedrijven: Middel >100 < 250,CUS,Klant,Besloten Vennootschap met gewone structuur,,LEIDEN,4.0,,,NLD,020  6602222,,m,8411.0,4651.0,,Assurantietussenpersonen,,,1.0,1-7-2008,3-2-2010,,1-8-1991
,AMSTERDAM,8011 PK,NL,NEDERLAND,NL - NEDERLAND,,070-5122222,Zorg: Ziekenhuizen,,CUS,Klant,Besloten Vennootschap met gewone structuur,2521EN,UTRECHT,46.0,2160AC,WORMER,NLD,035  6240488,,,94997.0,,,Vervaardiging van elektrische lampen en verlichtingsapparaten,,,2.0,30-12-2015,,,27-7-1975
4,AMSTERDAM,3433 PV,NL,NEDERLAND,NL - NEDERLAND,,010-4639222,,770 - Partners / dealers,CUS,Klant,Besloten Vennootschap met gewone structuur,3925GG,HERVELD,139.0,9203ZN,SLIEDRECHT,NLD,0478 551800,,m,6201.0,,,Algemeen overheidsbestuur,Verhuur van onroerend goed (niet van woonruimte),"Medische laboratoria, trombodediensten en overig behandelingsondersteunend onderzoek",8.0,25-1-2007,,,21-12-2012
9,Köln,1011 DK,NL,United States of America,NL - NEDERLAND,,0180-530751,Bedrijven: Groot > 250,750 - Bedrijven: Klein <100,CUS,Klant,Stichting,5611PW,AMERSFOORT,27.0,3421AG,VLEUTEN,NLD,071  3322000,020 5791098,f,85314.0,,,Interieur- en ruimtelijk ontwerp,,,1.0,12-12-2012,,,21-10-2010
48,Edinburgh EH11 2DF,1013 AA,NL,NEDERLAND,NL - NEDERLAND,,0174-648024,,850 - NIET MEER GEBRUIKEN,DEA,Klant,Eenmanszaak,6651TL,,1.0,3433PV,UTRECHT,NLD,030  2655555,,,7112.0,,70222.0,Praktijken van huisartsen,,,1.0,30-10-2006,,,
1,ZOETERMEER,50676,NL,NEDERLAND,NL - NEDERLAND,,030 26 26 185,Overheid: Gemeentes > 100000,590 - Overheid: Overige,CUS,Klant,Besloten Vennootschap met gewone structuur,1081HV,EINDHOVEN,434.0,9411PB,'S-GRAVENHAGE,NLD,,,,8411.0,,,Holdings (geen financiële),,,3.0,9-2-2015,,,1-12-1984
9,MIDDELBURG,3962 CK,NL,VERENIGD KONINKRIJK,NL - NEDERLAND,,040-2479111,Bedrijven: Groot > 250,610 - Onderwijs: HBO,OVE,Klant,Stichting,6269BK,SINT-MICHIELSGESTEL,9.0,2811GS,HEERLEN,NLD,088  1416111,,m,6190.0,,,,,,1.0,5-1-2016,20-2-2001,,1-1-2017
,UTRECHT,406,NL,NEDERLAND,NL - NEDERLAND,,0118-592440,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,CUS,Klant,Besloten Vennootschap met gewone structuur,1058ST,,2.0,1000AB,HOUTEN,NLD,070  3569291,,,8412.0,,,Algemeen overheidsbestuur,,,12.0,11-4-2011,22-12-1970,,12-10-2010
2,MILL,3012 CA,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Gemeentes > 100000,770 - Partners / dealers,CUS,Dealer,Besloten Vennootschap met gewone structuur,,LEEUWARDEN,5.0,6701AM,ALMELO,NLD,0317 314254,,,94993.0,85311.0,,Bedrijfspensioenfondsen,,,1.0,9-6-2017,,,1-7-2013
,Amsterdam,2312 NV,NL,NEDERLAND,NL - NEDERLAND,,020-7059600,,600 - Onderwijs: WO,,Overige,Naamloze Vennootschap blijkens statuten structuurvennootschap,2613AX,ENSCHEDE,34.0,2130AG,CULEMBORG,NLD,,,f,8411.0,,,Technisch speur- en ontwikkelingswerk,,Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-adviesbureaus),1.0,12-12-2008,19-3-2014,,1-10-2011
4,ROTTERDAM,1012 WX,NL,NEDERLAND,NL - NEDERLAND,,0318-685623,,750 - Bedrijven: Klein <100,CUS,Klant,Besloten Vennootschap blijkens statuten structuurvennootschap,6211JH,LEIDEN,12.0,1070AP,WAGENINGEN,NLD,,,,74201.0,,,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten,,Advisering op het gebied van informatietechnologie,4.0,10-11-2016,30-5-2003,,
,CULEMBORG,4147 AN,NL,NEDERLAND,NL - NEDERLAND,,0345-512833,Bedrijven: Klein <100,510 - Overheid: Provincies,CUS,Klant,Naamloze Vennootschap met gewone structuur,9725BM,'S-GRAVENHAGE,16.0,3508SB,HILVERSUM,NLD,,,,4636.0,,,"Ontwikkelen, produceren en uitgeven van software",Reclamebureaus,,1.0,14-4-2009,9-4-2002,,25-11-1997
48,GRONINGEN,3523 CL,NL,DUITSLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,CUS,Klant,Vennootschap onder firma,2595AJ,AMSTERDAM,1.0,3564CK,UTRECHT,NLD,0184 657700,,m,6831.0,,,Advocatenkantoren,,,1.0,26-11-2007,27-11-1987,1-1-2013,29-5-1969
234,ARNHEM,5145NW,NL,NEDERLAND,NL - NEDERLAND,,040-2500700,,750 - Bedrijven: Klein <100,OVE,Overige,Maatschap,5613BE,'S-GRAVENHAGE,40.0,1014DA,AMSTERDAM,NLD,075  6422434,043 3885555,,4665.0,,,Vervaardiging van elektrische lampen en verlichtingsapparaten,Uitleenbureaus,,3.0,26-8-2005,31-12-1986,,2-3-1972
14,NIEUWEGEIN,3527 LA,NL,NEDERLAND,NL - NEDERLAND,,020-5949111,,730 - Bedrijven: Groot > 250,,,Stichting,5633AJ,ALMERE,2.0,8440AH,AMSTERDAM,NLD,,,,86929.0,,,Ingenieurs en overig technisch ontwerp en advies,,,,28-12-2016,4-7-1983,,0-0-2000
10,ROTTERDAM,3527 WB,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Ministeries,620 - Onderwijs: MBO,CUS,Overige,Eenmanszaak,7241CR,WAALRE,,1008AB,AMERSFOORT,,073  5131789,,m,124.0,78202.0,,Overige dienstverlenende activiteiten op het gebied van informatietechnologie,Groothandel in kantoormachines (geen computers),,1.0,27-1-2006,27-2-1934,,25-10-2013
25,'S-GRAVENHAGE,1086 XP,NL,NEDERLAND,NL - NEDERLAND,,0111 483948,Bedrijven: Overige,890 - NIET MEER GEBRUIKEN,CUS,Klant,Vennootschap onder firma,4102BP,EINDHOVEN,67.0,3720AR,RAALTE,NLD,,,m,43992.0,,,Algemene ziekenhuizen,Concerndiensten binnen eigen concern,Ingenieurs en overig technisch ontwerp en advies,10.0,21-2-2005,2-7-1976,,23-8-1982
20,DEN HAAG,MA 01740,NL,NEDERLAND,NL - NEDERLAND,,040-2502200,NIET MEER GEBRUIKEN,750 - Bedrijven: Klein <100,CUS,Klant en Partner,Besloten Vennootschap met gewone structuur,3821BR,CULEMBORG,8.0,3401MG,NIJMEGEN,,020  8230225,,m,,4711.0,,Vervaardiging van bedrijfsmeubels,,,2.0,10-3-2017,13-7-1918,,12-7-1990
25b,AMSTERDAM,3512 BR,NL,NEDERLAND,NL - NEDERLAND,,043-6099292,Zorg: 1e lijns,,,Klant,Naamloze Vennootschap met gewone structuur,5656AE,GRONINGEN,1404.0,1078NZ,SCHIPHOL,NLD,,,,6420.0,,,Algemene burgerlijke en utiliteitsbouw,,,4.0,20-3-2013,17-7-2002,,15-12-1999
,LEERSUM,5661 PC,NL,NEDERLAND,NL - NEDERLAND,,045-5278555,Bedrijven: Klein <100,790 - Overige,CUS,Klant,Maatschap,3197KA,,272.0,7002DP,BILTHOVEN,NLD,,,,94997.0,,,"Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer",,,1.0,3-2-2017,,,
2,LONDON,1616 AV,NL,NEDERLAND,NL - NEDERLAND,,030-2489411,NIET MEER GEBRUIKEN,590 - Overheid: Overige,CUS,Dealer,Besloten Vennootschap met gewone structuur,3113BE,AMSTERDAM,65.0,5281GE,EINDHOVEN,NLD,020  3300123,,,8010.0,,6420.0,Overige belangenbehartiging n.e.g.,,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers,1.0,22-3-2007,,22-8-1972,4-9-1997
2,NIJMEGEN,2612 VC,NL,NEDERLAND,NL - NEDERLAND,,0118 689 010,Overheid: Gemeentes < 100000,740 - Bedrijven: Middel >100 < 250,CUS,Architect,Publiekrechtelijke rechtspersoon,,BEESD,111.0,4000HB,,,088  5426363,,f,6420.0,,,Universitair hoger onderwijs,,,2.0,,,,19-6-2012
8,UTRECHT,3045 PM,NL,NEDERLAND,NL - NEDERLAND,,030-2823303,Partners / dealers,770 - Partners / dealers,ARC,Klant,Besloten Vennootschap met gewone structuur,6531RR,ROTTERDAM,1.0,,CULEMBORG,NLD,088  1209613,,,8411.0,6420.0,,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers,Beoefening van podiumkunst,,1.0,3-9-2007,7-3-1990,1-1-2012,16-12-2003
60,VELP,8013 NR,NL,CURACAO,NL - NEDERLAND,NL001147055.B01,0345 517 388,Bedrijven: Klein <100,510 - Overheid: Provincies,CUS,Klant,Besloten Vennootschap met gewone structuur,2592GK,KRIMPEN AAN DEN IJSSEL,54.0,3000CA,ROTTERDAM,NLD,020  2610289,,,70101.0,,,Algemeen overheidsbestuur,,,10.0,4-2-2014,26-9-2008,,16-9-2013
45,TILBURG,6001 BE,NL,NEDERLAND,FR - FRANKRIJK,,37061571631,Partners / dealers,670 - Zorg: 2e lijns,CUS,Overige,Besloten Vennootschap met gewone structuur,9981VG,'S-GRAVENHAGE,11.0,2505CD,ALMELO,NLD,,,,6420.0,,52291.0,Vervaardiging van ijzer en staal en van ferrolegeringen,Weging en meting,,9.0,2-1-2014,28-5-2003,,1-7-2002
5,NIJMEGEN,2595 AK,NL,BRAZILIE,NL - NEDERLAND,,0345-589700,Bedrijven: Groot > 250,750 - Bedrijven: Klein <100,DEA,Dealer,Besloten Vennootschap met gewone structuur,2291DE,STELLENDAM,8.0,3032AD,,NLD,079  8884981,,,86929.0,,,,,,1.0,10-3-2011,,20-2-2001,17-7-1984
138,TANANGER,,NL,VERENIGD KONINKRIJK,NL - NEDERLAND,,0344-579314,Bedrijven: Middel >100 < 250,730 - Bedrijven: Groot > 250,CUS,Architect,Besloten Vennootschap blijkens statuten structuurvennootschap,1081HV,VIANEN UT,1.0,4330LA,GRONINGEN,NLD,036  5471100,,,,,,Coöperatief georganiseerde banken,,,8.0,6-12-2010,,6-8-2002,1-1-1985
405,ZAANDAM,1820,NL,NEDERLAND,NL - NEDERLAND,,077-3974100,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,,Klant,Publiekrechtelijke rechtspersoon,1077WM,EERSEL,,3526AD,WADDINXVEEN,NLD,088  6060100,,,46422.0,,,Advisering op het gebied van informatietechnologie,,,1.0,2-1-2015,,,1-9-2008
10,HAZERSWOUDE-DORP,9636 DB,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Gemeentes < 100000,660 - Zorg: Ziekenhuizen,CUS,Klant,Stichting,3511EP,ALMERE,68.0,3542AN,STEENWIJK,NLD,030  2203600,,,,,,Niet-gespecialiseerde groothandel in consumentenartikelen,,,1.0,28-5-2008,,15-12-1999,23-11-1998
2,JAMBES,1186 DS,NL,NEDERLAND,NL - NEDERLAND,,020-6971530,Bedrijven: Groot > 250,750 - Bedrijven: Klein <100,CUS,Architect,,1054XD,AMERSFOORT,100.0,9285ZV,,NLD,0180 440044,,,8411.0,,,Algemeen overheidsbestuur,,"Winkels in kranten, tijdschriften en kantoorbehoeften",,26-6-2008,,,25-8-1995
40,LEIDEN,1083 HJ,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,799 - Gispen / InterCompany,CUS,Klant,Besloten Vennootschap met gewone structuur,1215RP,ZUTPHEN,12.0,2500GH,WAGENINGEN,NLD,0497 531300,,m,86102.0,,,Gezelligheidsverenigingen,,,1.0,11-4-2017,5-11-1979,8-11-2011,1-1-1990
6,HEERENVEEN,8931 BV,NL,NEDERLAND,NL - NEDERLAND,,020-5313153,Financiele instellingen,750 - Bedrijven: Klein <100,CUS,Klant,Eenmanszaak,2132JC,SOEST,25.0,1300AE,GRONINGEN,,075  6531414,,m,6420.0,,,Winkels in vloerbedekking en gordijnen,,,6.0,2-2-2016,8-4-1997,,
1,GRONINGEN,2134 TM,NL,NEDERLAND,NL - NEDERLAND,,050 5215100,Bedrijven: Groot > 250,730 - Bedrijven: Groot > 250,CUS,Klant,Besloten Vennootschap met gewone structuur,1012CE,,5.0,4331JE,UTRECHT,NLD,0344 616147,,,94997.0,,,Steunfondsen (niet op het gebied van welzijnszorg),,,,18-6-2010,,,12-11-2013
501,APELDOORN,5492 NL,NL,NEDERLAND,NL - NEDERLAND,,010-8701111,Gispen / InterCompany,850 - NIET MEER GEBRUIKEN,CUS,Klant,,4101KP,VOERENDAAL,60.0,5612AJ,UTRECHT,NLD,,,,86102.0,,,Interieur- en ruimtelijk ontwerp,,,,,30-5-1996,17-6-2002,26-4-1996
115,WEERT,5231 VL,DE,NEDERLAND,NL - NEDERLAND,NL815305722B01,034-5712900,Bedrijven: Klein <100,640 - Onderwijs: Overige,CUS,Klant,Naamloze Vennootschap met gewone structuur,6461EB,GOUDA,430.0,,ROTTERDAM,,,06 22540077,f,70221.0,,,Financiële holdings,,,2.0,,,,17-5-1914
645,'S-HERTOGENBOSCH,3528 BA,NL,NEDERLAND,NL - NEDERLAND,,06-53948192,NIET MEER GEBRUIKEN,730 - Bedrijven: Groot > 250,CUS,Klant,Besloten Vennootschap met gewone structuur,8924JK,HOUTEN,4.0,4003CC,LEIDEN,NLD,0181 696969,,,6420.0,,,Basisonderwijs voor leerplichtigen,,,3.0,23-3-2010,,,5-4-2007
,Badhoevedorp,3521 GH,NL,NEDERLAND,NL - NEDERLAND,,09/234 00 07,Bedrijven: Groot > 250,500 - Overheid: Ministeries,OVE,,Vereniging met volledige rechtsbevoegdheid,3563AV,UTRECHT,55.0,6501BC,ZWAMMERDAM,NLD,040  2653521,,,86924.0,,,,,Overige gespecialiseerde reparatie en slepen van auto's,6.0,26-4-2007,9-7-1985,,1-7-2006
151-157,VLIJMEN,3763 WG,NL,NEDERLAND,NL - NEDERLAND,NL001569417B0,072-5476372,Gispen / InterCompany,760 - Bedrijven: Overige,,Overige,Stichting,6419DJ,HAARLEM,32.0,3001DA,HEERLEN,NLD,,,m,8130.0,,,Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch),,,3.0,6-1-2011,31-1-2012,,13-2-2002
29,AMSTERDAM,3991 DW,NL,NEDERLAND,NL - NEDERLAND,9479168,020-5028000,Bedrijven: Overige,520 - Overheid: Gemeentes > 100000,OVE,Klant,Besloten Vennootschap met gewone structuur,3439NK,UTRECHT,5.0,2491AC,CULEMBORG,NLD,026  3664433,,,6420.0,,,Coöperatief georganiseerde banken,,,4.0,21-6-2011,29-6-2005,,1-5-1994
,DEN HAAG,2711 EC,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Gemeentes < 100000,740 - Bedrijven: Middel >100 < 250,CUS,Architect,Publiekrechtelijke rechtspersoon,4331JE,VLISSINGEN,16.0,3871TD,'S-GRAVENHAGE,NLD,,,m,6832.0,,,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers,,,8.0,17-9-2012,6-2-1976,,29-11-2004
36,LOCHEM,5037 DR,NL,NEDERLAND,NL - NEDERLAND,,,Zorg: Ziekenhuizen,600 - Onderwijs: WO,CUS,Klant en Partner,Besloten Vennootschap met gewone structuur,,HELMOND,18.0,4000HE,'S-HERTOGENBOSCH,NLD,020  5999111,,,6201.0,46425.0,52291.0,Organisatie-adviesbureaus,,,1.0,14-4-2014,22-12-1970,20-12-2001,12-1-2007
28,VIANEN,4872 LP,NL,DENEMARKEN,NL - NEDERLAND,,010 248 88 88,Bedrijven: Groot > 250,520 - Overheid: Gemeentes > 100000,CUS,Klant,Besloten Vennootschap met gewone structuur,4101BK,VIANEN,31.0,2514JG,NIJMEGEN,NLD,088  6696000,,,8412.0,,,Hypotheekbanken en bouwfondsen,Kredietinformatie- en incassobureaus,,6.0,29-6-2016,24-3-2006,,3-6-1980
,UTRECHT,6851 KJ,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Groot > 250,700 - Financiele instellingen,CUS,,Besloten Vennootschap met gewone structuur,3995DE,'S-GRAVENHAGE,4.0,3009CA,VOORSCHOTEN,NLD,,,,6201.0,,,"Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)",,,1.0,14-7-2011,24-2-2017,,0-0-1695
139t/10,DEN HAAG,9641 PJ,NL,NEDERLAND,NL - NEDERLAND,,010-4616161,NIET MEER GEBRUIKEN,730 - Bedrijven: Groot > 250,CUP,Klant,Besloten Vennootschap met gewone structuur,3526KV,AMSTERDAM,32.0,2508CH,ROTTERDAM,NLD,,,,71111.0,1084.0,,Administratiekantoren voor aandelen en obligaties,,,1.0,10-7-2007,2-10-2006,31-5-1995,18-6-2010
15,Gouda,8801 PA,NL,BELGIE,NL - NEDERLAND,,0521-527700,Overheid: ZBO's,770 - Partners / dealers,CUS,Klant,Besloten Vennootschap met gewone structuur,3021GV,RIJSWIJK,7.0,2252CN,RIDDERKERK,NLD,,06 28643017,,7112.0,,,Groothandel in zuivelproducten en spijsoliën en -vetten,,,1.0,3-2-2010,26-5-1978,24-6-1974,25-3-1976
12,UITHUIZEN,1185 XB,NL,NEDERLAND,NL - NEDERLAND,,030-6880181,Overheid: Ministeries,750 - Bedrijven: Klein <100,,Klant,Stichting,,BILTHOVEN,2.0,2712HC,MAASTRICHT,NLD,,,m,8411.0,,,Exploitatie van bossen,,,5.0,5-1-2010,1-9-1889,11-1-1995,27-10-2005
7,HOUTEN,3274 KE,NL,NEDERLAND,NL - NEDERLAND,9157682,,Overheid: Gemeentes > 100000,890 - NIET MEER GEBRUIKEN,CUS,Overige,,3071AL,AMSTERDAM,6.0,1018DR,GRONINGEN,NLD,035  6939396,,m,6420.0,,,Gezelligheidsverenigingen,Winkels in verlichtingsartikelen,,4.0,24-11-2009,,6-2-2010,1-1-2004
,VILNIUS,3311 RR,NL,NEDERLAND,NL - NEDERLAND,,072-5674400,NIET MEER GEBRUIKEN,630 - Onderwijs: VO,CUS,,Besloten Vennootschap met gewone structuur,2583DX,AMSTERDAM,61.0,9700RM,NIEUWEGEIN,NLD,,,,86924.0,,71112.0,Financiële holdings,Uitleenbureaus,,,14-7-2004,,,1-6-2009
2,AMSTERDAM,5664 BE,NL,NEDERLAND,NL - NEDERLAND,NL001483316B01,030 2318686,Overheid: Gemeentes > 100000,750 - Bedrijven: Klein <100,CUS,,Stichting,3238BH,,17.0,5004BH,ROTTERDAM,NLD,079  3515723,,,5819.0,,,Financiële holdings,Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-adviesbureaus),Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe),6.0,,31-3-1987,,1-1-1802
2,AMSTERDAM,6511 LV,PL,NEDERLAND,NL - NEDERLAND,,070-3051107,Bedrijven: Klein <100,,DEA,,Besloten Vennootschap met gewone structuur,1441DM,'S-GRAVENHAGE,1.0,2711ER,'S-GRAVENHAGE,NLD,046  4811405,,,64191.0,6209.0,,Overige zakelijke dienstverlening n.e.g.,,,6.0,12-11-2004,,,1-4-2015
32,HARDERWIJK,8932 EW,NL,NEDERLAND,NL - NEDERLAND,,035 6677 8899,,750 - Bedrijven: Klein <100,CUS,Klant,Besloten Vennootschap met gewone structuur,2718SK,'S-GRAVENHAGE,23.0,3008DC,GROET,NLD,,,,4665.0,,,Exploitatie van bossen,,,5.0,22-6-2011,7-9-1956,,22-12-1995
180,WAGENINGEN,2611 LH,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Overige,750 - Bedrijven: Klein <100,CUS,Klant,Stichting,,LEIDEN,4.0,5260DH,GRONINGEN,,,,,71202.0,,,Groothandel in kantoormachines (geen computers),,,1.0,11-10-2010,27-12-2000,,12-7-2004
8,SUSTEREN,2273 CB,DE,NEDERLAND,UK - VERENIGD KONINKRIJK,,,Zorg: Ziekenhuizen,760 - Bedrijven: Overige,DEA,Klant,Besloten Vennootschap met gewone structuur,5281RM,GRONINGEN,21.0,3508SC,,NLD,076  5300237,,m,85323.0,,,Steunfondsen (niet op het gebied van welzijnszorg),Uitgeverijen van tijdschriften,,1.0,26-11-2014,30-1-1992,,2-3-1995
6,VENLO,1025 XE,NL,United States of America,NL - NEDERLAND,,070-3720500,NIET MEER GEBRUIKEN,670 - Zorg: 2e lijns,OVE,Klant,Besloten Vennootschap met gewone structuur,1211NG,HOOFDDORP,3.0,1202MA,EINDHOVEN,,0900 2282522,,m,86922.0,86101.0,8220.0,"Winkels in kranten, tijdschriften en kantoorbehoeften",,Financiële holdings,1.0,30-5-2013,7-6-2013,,31-12-2003
5-7,PANNINGEN,9723 ZA,NL,NEDERLAND,DE - DUITSLAND,,,Bedrijven: Groot > 250,750 - Bedrijven: Klein <100,DEA,Klant,Besloten Vennootschap met gewone structuur,7553KE,,41.0,6136KL,'S-GRAVENHAGE,NLD,088  1506070,,f,9002.0,,,"Groothandel in computers, randapparatuur en software",,,3.0,5-3-2012,27-2-2007,,1-1-1993
4,IJSSELSTEIN,5611 PW,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Ministeries,730 - Bedrijven: Groot > 250,CUS,Klant,Besloten Vennootschap met gewone structuur,6851KJ,DELFT,1.0,3506GR,UTRECHT,,,,m,7112.0,,,Overige belangenbehartiging n.e.g.,,,4.0,16-6-2008,9-12-1997,,30-5-1997
104,BRUMMEN,1329 BG,NL,NEDERLAND,NL - NEDERLAND,,030-2193800,Overheid: Ministeries,520 - Overheid: Gemeentes > 100000,OVE,Klant,Besloten Vennootschap met gewone structuur,,DIEMEN,10.0,3045PM,UTRECHT,NLD,,,,2016.0,,,,,,1.0,30-5-2017,31-12-1998,,20-6-2013
5A,STEENWIJK,4143 HT,NL,NEDERLAND,NL - NEDERLAND,,0416-669100,Partners / dealers,P770 - Overige,CUS,Dealer,Stichting,,VENLO,70.0,6271AZ,EINDHOVEN,NLD,053  4287350,,f,77112.0,,,Algemeen overheidsbestuur,,,,27-2-2008,3-2-2012,,26-3-1998
2,Zaandam,2595 BE,NL,NEDERLAND,NL - NEDERLAND,,038-4699699,Zorg: Ziekenhuizen,790 - Overige,CUS,Klant,Besloten Vennootschap met gewone structuur,2161HE,GRONINGEN,2.0,6135CV,BEESD,NLD,088  2001500,,,8541.0,,,"Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbenodigdheden",,,6.0,23-3-2010,29-5-1998,,15-11-2011
