unknown,unknown,unknown,postcode,city,country,province,country,telephone_nr,telephone_nr,unknown,sbi_description,sbi_description,date,unknown
2010010831965,Klant,Actief,3523 CL,BERGSCHENHOEK,Europe,Noord-Holland,Netherlands,06-54622951,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,3613 Vervaardiging van keukenmeubels,29-07-2010,internet
2010010831511,Prospect,Actief,2806 XD,Beek en Donk,Europe,Limburg,Netherlands,024-3245990,,Architecten Int. BNI,K. Financiele instellingen,,20-09-2010,DM cd bestanden
K38303,Prospect,Actief,1082 EG,Uden,Europe,Noord-Brabant,Netherlands,053-4310355,035-5235776,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,16-02-2011,DM cd bestanden
2010010832944,Prospect,Actief,3743 CD,Sittard,Europe,Limburg,Netherlands,020-6233351,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-10-2012,DM cd bestanden
2010010828563,Zakenrelatie,Actief,6551 ZZ,'s-Gravenhage,Europe,Noord-Holland,Netherlands,040-2620002,0172-215274,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,DM cd bestanden
2010010832349,Prospect,Actief,3033 BR,HEEMSTEDE,Europe,Gelderland,Netherlands,026-4433028,,Architecten Int. BNI,K. Financiele instellingen,,24-10-2011,internet
2010010826957,Zakenrelatie,Actief,5671 CJ,Vinkeveen,Europe,Limburg,Netherlands,076-5604344,040-2454420,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,08-11-2011,DM cd bestanden
2010010828969,Suspect,Actief,5711 LD,Zoetermeer,Europe,Gelderland,Netherlands,040-2431505,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-10-2012,internet
2010010803087,Zakenrelatie,Actief,3763 XS,Emmeloord,Europe,Noord-Brabant,Netherlands,023-5443266,,Architecten Int. BNI,K. Financiele instellingen,51911 Groothandel in bedrijfsmeubels (geen kantoor),29-07-2010,baan
2010010818924,Suspect,Actief,8107 AB,Eindhoven,Europe,Noord-Holland,Netherlands,020-6262691,,Architecten Int. BNI,Onbekend,,01-11-2010,internet
2010010827308,Zakenrelatie,Actief,7475 TW,Zwolle,Europe,Noord-Brabant,Netherlands,0224-552207,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,24-05-2013,Telefoon
K23417,Zakenrelatie,Actief,3645 TD,Amsterdam,Europe,Groningen,Netherlands,034-7342219,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,DM cd bestanden
2010010829389,Prospect,Actief,1213 AE,Rotterdam,Europe,Noord-Holland,Netherlands,582800015,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,internet
K40129,Klant,Actief,1019 HE,Amsterdam,Europe,Noord-Brabant,Netherlands,024-8486571,053-4280209,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-11-2013,DM cd bestanden
2010010830569,Zakenrelatie,Actief,5222 AE,Westbroek,Europe,Noord-Holland,Netherlands,011-726962,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",18-08-2010,internet
100675,Prospect,Actief,1851 JC,Hoofddorp,Europe,Noord-Holland,Netherlands,06-14244207,,Architecten Int. BNI,K. Financiele instellingen,744023 Standbouw,20-07-2010,internet
2010010807176,Zakenrelatie,Actief,3542 AK,Amsterdam,Europe,Groningen,Netherlands,020-4205640,0529-857928,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,15-12-2009,DM cd bestanden
2010010830365,Suspect,Passief,1403 JV,Hilversum,Europe,Limburg,Netherlands,0527-614680,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,Beurs
2010010828950,Zakenrelatie,Actief,6131 JD,Berlicum,Europe,Noord-Brabant,Netherlands,0118-571436,023-5313850,Architecten Int. BNI,K. Financiele instellingen,361101 Vervaardiging van zitmeubels,27-03-2013,internet
2010010804617,Zakenrelatie,Actief,9403 RX,Utrecht,Europe,Noord-Brabant,Netherlands,0184-685317,,Architecten Int. BNI,F. Bouwnijverheid,36121 Interieurbouw,13-09-2012,internet
2010010828732,Suspect,Actief,6136 TH,Rosmalen,Europe,Zuid-Holland,Netherlands,0318-515705,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-11-2010,DM cd bestanden
2010010827309,Suspect,Actief,4033 AA,Amsterdam,Europe,Zuid-Holland,Belgium,079-3613564,010-4135621,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
K21878,Suspect,Actief,6851 BE,Naarden,Europe,Friesland,Netherlands,06-50858088,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,29-09-2011,internet
K24605,Prospect,Actief,2957 BH,Arnhem,Europe,Noord-Holland,Netherlands,020-4420789,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,12-06-2012,internet
2010010829674,Prospect,Actief,5683 HR,Nijmegen,Europe,Noord-Holland,Netherlands,023-5400000,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",04-05-2012,DM cd bestanden
2010010830374,Zakenrelatie,Actief,1812 PS,VALKENSWAARD,Europe,Noord-Holland,Netherlands,030-2200875,074-2917358,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,Beurs
2010010828960,Prospect,Actief,5554 CK,Zoeterwoude,Europe,Zuid-Holland,Netherlands,020-6151036,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,29-05-2015,baan
2010010831000,Zakenrelatie,Actief,6468 AD,AMSTERDAM,Europe,Noord-Holland,Netherlands,0164-253000,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,"742011 Architecten-, ingenieurs- en overige ontwerp",22-04-2011,internet
K38550,Zakenrelatie,Actief,5617 BD,Schiedam,Europe,Drenthe,Netherlands,06-46045193,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,09-10-2012,Mibra lijst AvG
2010010829738,Suspect,Passief,6814 AK,Arnhem,Europe,Limburg,Netherlands,010-4144112,071-5458055,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,09-06-2011,DM cd bestanden
2010010827194,Zakenrelatie,Actief,6716 BR,Zoetermeer,Europe,Noord-Holland,Netherlands,020-6242857,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-09-2012,internet
2010010829637,Klant,Actief,7516,Beverwijk,Europe,Gelderland,Netherlands,013-5111858,046 4000 928,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,05-09-2013,internet
2010010828353,Prospect,Actief,3151 BB,Valkenswaard,Europe,Limburg,Netherlands,06-25446908,,Architecten Int. BNI,Onbekend,,30-05-2011,internet
2010010816993,Prospect,Actief,4121 EC,Vinkeveen,Europe,Noord-Brabant,Netherlands,0182 504 227,073-6871077,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,14-05-2008,internet
2010010828630,Klant,Actief,1747 EE,ZAANDAM,Europe,Utrecht,Netherlands,024-3237803,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,05-06-2012,internet
K24523,Prospect,Passief,8102 HR,ZUIDSCHERMER,Europe,Zuid-Holland,France,06-54915966,040-2240339,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,Beurs
K24675,Klant,Actief,1019 BM,ROTTERDAM,Europe,Noord-Brabant,Netherlands,050-5892420,043-4511920,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,22-02-2011,baan
1606081068,Zakenrelatie,Actief,3441 ED,REEK,Europe,Noord-Brabant,Netherlands,06-24119101,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",01-07-2013,internet
K38384,Prospect,Actief,8012 EW,Rotterdam,Europe,Utrecht,Netherlands,035-6422520,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",23-05-2012,baan
2010010809094,Zakenrelatie,Actief,5705 CK,Baarn,Europe,Noord-Holland,Netherlands,073-6143603,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
1001576,Suspect,Actief,1411 KA,'s-Hertogenbosch,Europe,Drenthe,Netherlands,075-6142838,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,21-10-2011,baan
2010010830255,Zakenrelatie,Passief,5553 BN,HELMOND,Europe,Noord-Holland,Netherlands,+44-2083542667,08 48 67 17 34,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,07-10-2014,internet
2010010819031,Suspect,Actief,1185 GB,Dalfsen,Europe,Noord-Brabant,Netherlands,073-6911320,035-6782856,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,14-02-2008,DM cd bestanden
2010010822564,Zakenrelatie,Passief,3888 NR,Tegelen,Europe,Noord-Holland,Netherlands,0033-143149003,024-3779921,Architecten Int. BNI,F. Bouwnijverheid,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,21-12-2011,Internet
K20022,Prospect,Actief,4811 AB,Rotterdam,Europe,Overijssel,Netherlands,010-4262669,,Architecten Int. BNI,K. Financiele instellingen,,12-07-2013,internet
2010010829468,Klant,Passief,1412 AM,Breda,Europe,Noord-Brabant,Netherlands,055-5050955,0595-557476,Architecten Int. BNI,K. Financiele instellingen,,24-01-2011,internet
2010010832250,Zakenrelatie,Actief,5242 AP,De Schiphorst,Europe,Limburg,Netherlands,0493-342526,046-4113499,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,14-10-2011,internet
2010010807212,Zakenrelatie,Passief,5391 KL,Arnhem,Europe,Noord-Brabant,Netherlands,026-3613467,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",22-03-2010,internet
2010010827539,Zakenrelatie,Actief,3212 LC,Den Haag,Europe,Gelderland,Netherlands,0343-417080,035-6923097,Architecten Int. BNI,K. Financiele instellingen,454502 Afwerking van gebouwen (divers),17-05-2010,internet
1606082493,Prospect,Actief,4812 GR,Kuinre,Europe,Gelderland,Netherlands,06-47781128,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
1606081098,Zakenrelatie,Passief,6261 NV,Kerkrade,Europe,Overijssel,Netherlands,0575-527225,,Architecten Int. BNI,F. Bouwnijverheid,,01-05-2014,internet
2010010808500,Zakenrelatie,Passief,2132 XZ,ZANDVOORT,Europe,Zuid-Holland,Netherlands,046-7111789,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,19-12-2007,DM cd bestanden
200907014056,Zakenrelatie,Actief,9731 LX,Amsterdam,Europe,Noord-Holland,Netherlands,070-3882012,,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,internet
1606082946,Klant,Actief,6028 KD,'s-Gravenhage,Europe,Gelderland,Netherlands,045-5458161,,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,baan
2010010829632,Suspect,Actief,3061 GZ,Hilversum,Europe,Zeeland,Netherlands,06-16472401,+32-38888488,Architecten Int. BNI,K. Financiele instellingen,51911 Groothandel in bedrijfsmeubels (geen kantoor),19-12-2007,internet
2010010829866,Zakenrelatie,Actief,2712 XZ,VLIERDEN,Europe,Utrecht,Netherlands,06-42220608,0297-593485,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,15-06-2011,baan
2010010827726,Zakenrelatie,Actief,9615 AG,Hilversum,Europe,Zuid-Holland,Netherlands,0486-421019,,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,DM cd bestanden
2010010808051,Prospect,Actief,6813 DP,AMSTERDAM,Europe,Noord-Holland,Netherlands,06-13516389,,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",19-03-2013,Beurs
K20169,Zakenrelatie,Actief,5611 NE,UDEN,Europe,Drenthe,Netherlands,0152-137425,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",13-03-2013,internet
2010010832422,Suspect,Actief,4131 NZ,Ede,Europe,Noord-Holland,Netherlands,073 737 0061,,Architecten Int. BNI,Onbekend,,15-11-2012,internet
2010010828531,Zakenrelatie,Actief,1019 PE,Culemborg,Europe,Gelderland,Netherlands,06-25010592,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,DM cd bestanden
2010010803218,Zakenrelatie,Actief,2712 XK,Arnhem,Europe,Noord-Holland,Netherlands,035-6219529,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-11-2008,DM cd bestanden
200907014532,Prospect,Actief,5211 HZ,NIJMEGEN,Europe,Noord-Brabant,Netherlands,0487-518889,,Architecten Int. BNI,G. Groot- en detailhandel; reparatie van auto's,36121 Interieurbouw,08-03-2012,internet
2010010802239,Prospect,Passief,5432 KE,Middelburg,Europe,Antwerpen,Netherlands,020-4201198,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-12-2007,DM cd bestanden
K37299,Prospect,Actief,2571 DD,Woerden,Europe,Zuid-Holland,Netherlands,030-2290567,070-3837578,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",30-04-2014,internet
2010010829353,Zakenrelatie,Actief,3615 AM,Groningen,Europe,Zuid-Holland,Belgium,040-2862297,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
2010010828982,Prospect,Actief,3047 BG,Tuitjehoorn,Europe,Groningen,Netherlands,020-6720577,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-08-2012,Via relatie
2010010831510,Zakenrelatie,Passief,7161 XH,Dussen,Europe,Zuid-Holland,Netherlands,038-4230888,,Architecten Int. BNI,K. Financiele instellingen,,09-11-2012,internet
2010010828408,Klant,Actief,2741 LA,Leeuwarden,Europe,Gelderland,Netherlands,0411-685335,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,14-01-2010,baan
2010010829645,Zakenrelatie,Passief,5831 CJ,DRIEBERGEN-RIJSENBURG,Europe,Noord-Brabant,Netherlands,+32-34440640,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,23-05-2012,internet
2010010802350,Suspect,Actief,5026 RJ,Arnhem,Europe,Noord-Brabant,Netherlands,075-6350450,0318-515740,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,08-11-2012,internet
K38771,Zakenrelatie,Actief,4271 BL,Groningen,Europe,Noord-Brabant,Netherlands,023-5160860,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,12-10-2009,internet
2010010830579,Suspect,Passief,3925 CC,Leiden,Europe,Overijssel,Netherlands,06-38939992,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
1606082053,Prospect,Actief,1015 SN,Arnhem,Europe,Noord-Brabant,Netherlands,0321-336000,0475-497124,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
2010010828444,Zakenrelatie,Actief,3723 BL,Ommen,Europe,Gelderland,Netherlands,06-42758766,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,16-02-2012,DM cd bestanden
K23162,Prospect,Passief,3992 DD,WESTBEEMSTER,Europe,Overijssel,Netherlands,06-27498612,030-6620764,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,22-02-2012,DM cd bestanden
1606082647,Zakenrelatie,Actief,5056 XS,UDENHOUT,Europe,Flevoland,Netherlands,06-55137699,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",18-09-2012,Internet
2010010818563,Zakenrelatie,Actief,3116 ED,Alkmaar,Europe,Overijssel,Netherlands,0416-563733,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,30-09-2011,DM cd bestanden
K38693,Suspect,Actief,1741 BH,Apeldoorn,Europe,Noord-Brabant,Netherlands,0294-263837,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,01-03-2010,Internet
2010010828600,Zakenrelatie,Actief,4751 KB,OOSTERHOUT NB,Europe,Utrecht,Netherlands,,0478-515233,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,06-11-2014,DM cd bestanden
2010010830809,Suspect,Actief,5642 JM,Den Haag,Europe,Zuid-Holland,Netherlands,040-2514870,0481-352411,Architecten Int. BNI,K. Financiele instellingen,,23-01-2012,Internet
2010010806582,Zakenrelatie,Actief,6651 KM,'s-Hertogenbosch,Europe,Utrecht,Netherlands,035-5880524,,Architecten Int. BNI,K. Financiele instellingen,1411 Hoveniersbedrijven e.d. --,01-05-2014,baan
K38396,Zakenrelatie,Actief,8374 KR,Vierlingsbeek,Europe,Utrecht,Netherlands,026-3250554,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,07-05-2012,internet
2010010804931,Klant,Actief,1506 BM,Groningen,Europe,Noord-Brabant,Netherlands,06-55358337,076-8884150,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,23-09-2013,DM cd bestanden
2010010828515,Prospect,Actief,1271 BR,Willemsoord,Europe,Zuid-Holland,Netherlands,072-5335905,,Architecten Int. BNI,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),17-09-2012,DM cd bestanden
1606081697,Zakenrelatie,Actief,3722 BL,HEERHUGOWAARD,Europe,Noord-Brabant,Netherlands,,,Architecten Int. BNI,Onbekend,361101 Vervaardiging van zitmeubels,29-05-2015,DM cd bestanden
