unknown,telephone_nr,house_number,postcode,city,telephone_nr,house_number,postcode,city,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,date,date,date,date
K60849,0572 - 371445,623.0,5700 AS,Bunnik,,1458.0,7801 CC,Amsterdam,Besloten Vennootschap met gewone structuur,3981AZ,AMSTERDAM,5.0,7575EM,ROTTERDAM,NLD,010  4116125,,m,2829.0,,,Algemene burgerlijke en utiliteitsbouw,,Uitzendbureaus,12-10-2012,29-3-1977,,1-10-2013
K60916,0183-626633;003236411212,77.0,5900 AE,Hellevoetsluis,,34.0,3350 CD,Mierlo,Besloten Vennootschap met gewone structuur,5683EA,DORDRECHT,20.0,6040KB,DRACHTEN,NLD,075  6537000,,,2822.0,,4222.0,Elektrotechnische bouwinstallatie,,,27-11-2009,27-2-2002,,17-8-2005
K60908,,33100.0,2909 LK,Zwijndrecht,,174.0,6212 XN,Udenhout,Besloten Vennootschap met gewone structuur,8861NW,ALMELO,2.0,3006AE,DRACHTEN,NLD,0548 701361,,,8411.0,,,"Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water",Uitleenbureaus,,16-1-2015,,29-5-1998,30-1-1996
K61027,076-5293000,14.0,21003,Oosterwolde Fr,,121.0,5240 AG,Hardinxveld-Giessendam,Publiekrechtelijke rechtspersoon,8431AC,BUNNIK,9.0,7420AA,HATTEM,NLD,0412 629911,06 55873817,,2611.0,43222.0,,Overige culturele uitleencentra en openbare archieven,,,27-3-2009,9-3-1984,,13-3-1899
K60445,0475 - 395979,629.0,4200 AW,Doorwerth,,6.0,5384 ZG,Zwolle,Vennootschap onder firma,3439LM,'S-GRAVENHAGE,4.0,2964ZG,ZWOLLE,NLD,0165 750300,,,42111.0,,,Natte waterbouw,,,26-5-2009,19-12-1977,,2-11-2009
1002618,0183-645060,13.0,5384 ZG,Oss,,2.0,9422 GT,Eindhoven,Besloten Vennootschap met gewone structuur,3356LJ,BOXMEER,5709.0,8600HA,NIEUWEGEIN,NLD,0495 453502,,,141.0,,7490.0,Vervaardiging van artikelen van draad en van kettingen en veren,Algemene burgerlijke en utiliteitsbouw,,19-11-2007,12-10-1977,1-11-1972,5-6-2009
K60624,040-2825540,90.0,3002 AB,Spijkenisse,,118.0,3350 AH,Hendrik-Ido-Ambacht,Besloten Vennootschap met gewone structuur,3991SX,GOUDA,14.0,3340AA,EMMELOORD,NLD,030  6598911,,m,6420.0,,,Algemene burgerlijke en utiliteitsbouw,,,9-9-2011,6-6-1967,20-8-2007,16-10-1998
D-00059,0591 - 626300,3.0,9350 AC,'s-Gravenhage,,5.0,2800 AV,Delft,Besloten Vennootschap met gewone structuur,3087BM,HEESCH,200.0,8303HA,VENLO,NLD,0182 590600,,,7112.0,6420.0,,Overige belangenbehartiging n.e.g.,Opslag in koelhuizen e.d.,,8-9-2015,27-2-2002,,10-2-2014
K58064,040 - 2149111,1.0,1023 BX,Boxtel,,1025.0,1970 CA,Tiel,Eenmanszaak,7821AK,ROOSENDAAL,17.0,3584CX,DORDRECHT,NLD,013  5792911,,,8411.0,,,Elektrotechnische bouwinstallatie,Uitleenbureaus,Uitzendbureaus,30-7-2009,20-7-2006,,30-1-2014
K60753,,12.0,4854 MG,Zeeland,055-5382299,99.0,3980 CE,Valkenswaard,Besloten Vennootschap met gewone structuur,5223MB,HEERENVEEN,1.0,5240AE,HARDERWIJK,NLD,030  6861611,,m,4120.0,4291.0,,Algemeen overheidsbestuur,,,19-3-2010,29-9-2008,,21-12-1999
1002548,,17.0,4131 PA,Apeldoorn,030 2359056,17.0,3990 GD,Barendrecht,Besloten Vennootschap met gewone structuur,2525KJ,AALTEN,100.0,5201GE,ROTTERDAM,NLD,0348 435100,,,43222.0,,,Elektrotechnische bouwinstallatie,,,17-2-2003,6-3-2013,1-1-2013,1-11-1964
K60303,,60.0,6560 AC,Utrecht,,190.0,5741 RR,Eindhoven,Besloten Vennootschap met gewone structuur,6974AH,ROTTERDAM,6.0,4849BR,WOUDENBERG,NLD,070  3111333,,,8411.0,,7112.0,Ingenieurs en overig technisch ontwerp en advies,Algemene burgerlijke en utiliteitsbouw,,31-3-2014,29-6-2007,1-1-2005,1-10-1999
1002591,020 - 569 5805,78.0,3330 AA,Venlo,0475-317545,35.0,7102 JH,Beuningen Gld,Publiekrechtelijke rechtspersoon,3812RE,NIEUWEGEIN,18.0,3515ET,VIANEN UT,NLD,0492 664885,0548 701415,,2829.0,2222.0,46739.0,Algemeen overheidsbestuur,,,4-11-2015,28-5-2003,,26-10-2011
K48700,070 3170700,10.0,1090 GS,Beesd,,8.0,6040 AA,Zwolle,Besloten Vennootschap met gewone structuur,3992AE,SON EN BREUGEL,29.0,3000AG,GROOT-AMMERS,NLD,013  5291311,,,7112.0,,,Ingenieurs en overig technisch ontwerp en advies,Ingenieurs en overig technisch ontwerp en advies,,25-6-2008,24-2-2006,12-10-1977,1-1-2013
K60904,,51.0,3350 AA,Gouda,,47.0,2511 BT,Gouda,Publiekrechtelijke rechtspersoon,3981LB,UTRECHT,23.0,9350AC,ZWOLLE,NLD,030  2380345,,,16231.0,,,Advisering op het gebied van informatietechnologie,Uitleenbureaus,Groothandel in bouwmaterialen algemeen assortiment,5-11-2012,29-12-1916,,3-5-1934
D-00107,0492 - 578787,5.0,2508 CL,Son,,4190.0,4131 NJ,'s-Gravenhage,Besloten Vennootschap met gewone structuur,7333NP,GELDROP,7.0,4250DB,ELST GLD,NLD,074  2405021,,,4120.0,,,Ingenieurs en overig technisch ontwerp en advies,Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen,,27-12-2012,8-4-1993,1-7-1974,1-7-2013
K49100,078-6396037,68.0,4940 AB,Sint Odiliënberg,,418.0,3042 HN,Maarssen,Besloten Vennootschap met gewone structuur,3812RP,NIEUWEGEIN,27.0,3760AE,PERNIS ROTTERDAM,NLD,020  5110880,,,8411.0,47999.0,,Algemene burgerlijke en utiliteitsbouw,Groothandel in bouwmaterialen algemeen assortiment,Slopen van bouwwerken,8-7-2010,4-2-1993,,24-9-2007
D-00114,,136.0,6212 XN,Grave,,47.0,1000 CV,Stadskanaal,Besloten Vennootschap met gewone structuur,2803MC,KOLLUM,51.0,5300DA,AMSTERDAM,NLD,0525 659888,,m,43999.0,,2825.0,Algemene burgerlijke en utiliteitsbouw,Loodgieters- en fitterswerk; installatie van sanitair,,17-2-2010,,8-10-2008,21-2-2006
D-00017,0546 - 644411,9.0,6222 NJ,Papendrecht,,246.0,1101 BG,Utrecht,Naamloze Vennootschap blijkens statuten structuurvennootschap,2153GH,RAAMSDONKSVEER,32.0,3900BC,BUNNIK,NLD,030  6592975,,m,43221.0,46738.0,,"Ontwikkelen, produceren en uitgeven van software",,,7-11-2011,,,8-11-1989
K60857,0184 667200,31.0,3511 EP,Roosendaal,,,7575 EM,Bavel,Besloten Vennootschap met gewone structuur,4611AR,DOETINCHEM,15.0,8000AS,DE MEERN,NLD,024  6782878,,m,70221.0,42111.0,,Arbeidsbemiddeling,Elektrotechnische bouwinstallatie,Financiële holdings,30-6-2009,5-12-1967,,7-10-1999
K60512,"088 - 7565343 niet op di middag, woe en do middag",6.0,5605 JD,Gennep,,13.0,6422 PD,Barendrecht,Besloten Vennootschap met gewone structuur,4661KW,EINDHOVEN,25.0,3350AA,BRUNSSUM,NLD,0341 437100,,,52109.0,,,Ingenieurs en overig technisch ontwerp en advies,Algemene burgerlijke en utiliteitsbouw,,5-7-2006,20-12-2012,,27-2-2002
1002557,,6.0,1112 XR,Nieuwegein,,9007.0,48575,Gouda,Vennootschap onder firma,5504EE,WOERDEN,1.0,5460AM,SON EN BREUGEL,NLD,,,,4321.0,,,Installatie van verwarmings- en luchtbehandelingsapparatuur,"Vervaardiging van overige producten van beton, gips en cement",,7-7-2015,22-8-1988,,6-3-2013
D-00190,088-9884400,120.0,2821 ZN,Helmond,,3.0,3760 AE,Oldenzaal,Besloten Vennootschap met gewone structuur,7411SC,AMERSFOORT,1.0,1023BX,'S-GRAVENDEEL,NLD,073  5436600,,,47642.0,,,Natte waterbouw,,,31-10-2008,4-12-2012,8-1-1980,1912
D-00077,030-2486911,5.0,4201 HL,Bergschenhoek,,19.0,5800 GC,Almelo,Besloten Vennootschap met gewone structuur,6545CG,TRICHT,41.0,7120AB,GRONINGEN,NLD,026  8001900,,m,7810.0,,,Installatie van verwarmings- en luchtbehandelingsapparatuur,,,26-3-2010,31-12-1976,,30-9-2003
1002509,,623.0,3440 AM,Eindhoven,,25.0,1190 AB,Bunnik,Besloten Vennootschap met gewone structuur,2496XD,WOERDEN,79.0,7470AB,AMSTERDAM,NLD,0184 667200,,m,4120.0,,6209.0,Slopen van bouwwerken,Loodgieters- en fitterswerk; installatie van sanitair,Installatie van verwarmings- en luchtbehandelingsapparatuur,30-10-2006,12-8-2009,,16-12-2009
D-00207,,50.0,6030 AA,Utrecht,,525.0,3600 BE,Nieuwegein,Besloten Vennootschap met gewone structuur,5462GJ,MOORDRECHT,2.0,2964ZG,WOERDEN,NLD,0345 547474,,,8411.0,,,Algemene burgerlijke en utiliteitsbouw,Grondverzet,Elektrotechnische bouwinstallatie,12-10-2015,19-11-1975,,15-11-1924
D-00191,0591 - 642536,1768.0,4900 GB,Enschede,,6705.0,1566 ZG,Eindhoven,Publiekrechtelijke rechtspersoon,6001SE,BOEKEL,85.0,3350AH,HELMOND,NLD,073  5436100,,m,42111.0,,,Elektrotechnische bouwinstallatie,,,7-10-2011,,31-8-1978,18-12-2006
K60412,0570 503250,16.0,8000 AA,Zwolle,,582.0,7681 KA,Elburg,Besloten Vennootschap met gewone structuur,5281AT,HILVARENBEEK,30.0,2660AA,MAASTRICHT,NLD,030  2486911,06 15088166,,,7112.0,,Vervaardiging van metalen constructiewerken en delen daarvan,Loodgieters- en fitterswerk; installatie van sanitair,,21-8-2012,9-11-2006,,1-1-1982
K59550,040-2825540 8.00 en 12.00 uur,9.0,2900 AL,Rotterdam,,2405.0,3447 GG,Rotterdam,Publiekrechtelijke rechtspersoon,9288AG,'S-HEERENBERG,78.0,7793HW,ROTTERDAM,NLD,0523 266092,,,8411.0,43222.0,,Groothandel in overige consumentenartikelen (non-food) n.e.g.,Heien en andere funderingswerkzaamheden,Elektrotechnische bouwinstallatie,22-11-2006,23-12-1977,,1-1-1989
1002150,0314 662445,19.0,3840 AD,Tilburg,,7196.0,3511 BR,Lopik,Besloten Vennootschap met gewone structuur,5248JT,ROSMALEN,34.0,3008KA,LELYSTAD,NLD,030  2650500,,,7112.0,42111.0,,Ingenieurs en overig technisch ontwerp en advies,,Elektrotechnische bouwinstallatie,6-10-2008,29-5-1985,,4-10-2011
K60967,,110.0,9200 AD,IJsselstein Ut,,748.0,4700 BA,Hamburg,Besloten Vennootschap met gewone structuur,3511BR,SON EN BREUGEL,16.0,3503RA,HAARLEM,NLD,0314 372500,,,4120.0,,,"Vervaardiging van deuren, ramen en kozijnen van hout",,,1-7-2008,10-5-1935,,12-4-2005
K60949,06-14001867 Erik Linthorst,19.0,1633 ZG,Marknesse,,2823.0,3800 AA,Duiven,Besloten Vennootschap blijkens statuten structuurvennootschap,2718SB,AMSTERDAM,1.0,3930EA,DORDRECHT,NLD,020  5695920,,m,7112.0,,,Ingenieurs en overig technisch ontwerp en advies,,,,10-2-1977,,16-5-1974
1001519,046-4359393,10.0,6604 LN,Utrecht,,62.0,3840 AD,Heerhugowaard,Publiekrechtelijke rechtspersoon,6301PM,KOOTSTERTILLE,15.0,5652AM,HOUTEN,NLD,053  4287880,,m,96011.0,78202.0,,Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek),,,15-7-2014,13-5-1955,7-9-1977,3-1-1966
D-00109,,203.0,1703 AZ,Zwolle,,12600.0,1001 NR,Rosmalen,Besloten Vennootschap met gewone structuur,3981LA,ROTTERDAM,91.0,1006AB,AMERSFOORT,NLD,0161 411916,06 53395557,,4120.0,4110.0,,Ingenieurs en overig technisch ontwerp en advies,Groothandel in non-ferrometalen en -halffabrikaten,Loodgieters- en fitterswerk; installatie van sanitair,29-5-2008,1-8-1978,1-9-1972,8-12-1956
K60464,0512-583621,2.0,5680 AB,Hengelo Ov,,6121.0,7460 AA,Veldhoven,Besloten Vennootschap met gewone structuur,3439LM,PAPENDRECHT,15.0,4190CD,ROOSENDAAL,NLD,0416 272441,,,7112.0,4321.0,,Algemeen overheidsbestuur,Algemene burgerlijke en utiliteitsbouw,,31-3-2010,,30-3-1999,28-10-1912
K60891,0180 - 640 911,1212.0,7440 AE,Avenhorn,,60.0,7600 AA,Woerden,Besloten Vennootschap met gewone structuur,1704SE,EMMEN,120.0,4131PA,GOUDA,NLD,078  6733300,,,4311.0,,,Loodgieters- en fitterswerk; installatie van sanitair,Uitleenbureaus,,24-6-2009,16-8-1955,27-9-1983,1-9-1999
K60491,,21113.0,6135 KH,Tiel,,101.0,5060 GA,'s-Gravenhage,Besloten Vennootschap met gewone structuur,7122MP,HARMELEN,25.0,6802EB,HOOGEZAND,NLD,0546 535111,,,6420.0,43221.0,,Vervaardiging van metalen constructiewerken en delen daarvan,Groothandel in bouwmaterialen algemeen assortiment,,30-12-2011,6-10-1971,,17-7-2009
K60658,0299-391405,40.0,8300 BA,Barneveld,onbekend,18.0,4900 AC,Emmen,Besloten Vennootschap met gewone structuur,5427DB,ROTTERDAM,21.0,3752LM,MAARSSEN,NLD,0512 335678,,,7112.0,6201.0,,Vervaardiging van overige organische basischemicaliën (geen petrochemische producten),Loodgieters- en fitterswerk; installatie van sanitair,,6-5-2013,2-4-2015,1-1-2000,30-4-1948
1002263,0416 - 272441,4.0,6000 AA,Rotterdam,0345 - 68 44 36,4.0,2821 ZN,Oldenzaal,Besloten Vennootschap met gewone structuur,2595AK,DODEWAARD,6.0,2600JA,'S-HERTOGENBOSCH,NLD,013  5117227,,,7112.0,3514.0,,Ingenieurs en overig technisch ontwerp en advies,Groothandel in meet- en regelapparaten,,12-7-2010,24-9-2007,4-10-2005,11-1-1961
D-00167,,3.0,9203 ZN,Beek en Donk,,21523.0,3440 AM,Eindhoven,Besloten Vennootschap met gewone structuur,9503JA,SON EN BREUGEL,1.0,7300AP,UTRECHT,NLD,030  2357104,,,8411.0,47544.0,4321.0,Vervaardiging van overige machines en apparaten voor algemeen gebruik n.e.g.,"Vervaardiging van meet-, regel-, navigatie- en controleapparatuur",,26-1-2007,18-12-1964,24-7-1987,24-4-2012
K60819,075 684 7060,245.0,2960 AA,Groningen,,619.0,4130 EA,Apeldoorn,Besloten Vennootschap met gewone structuur,3011EN,HELMOND,42.0,4800CG,ROTTERDAM,NLD,0599 612438,,,8411.0,,78202.0,"Vervaardiging van hijs-, hef- en transportwerktuigen",Uitleenbureaus,,30-7-2009,9-12-2013,,22-1-1987
K10136,,418.0,2964 ZG,Drachten,,4065.0,5600 AJ,Ede Gld,Besloten Vennootschap met gewone structuur,5731JL,VEENENDAAL,16.0,5800GC,SLIEDRECHT,NLD,073  5587555,,m,42111.0,,,Geen bedrijfsactiviteit(en),Wegenbouw,Natte waterbouw,7-2-2011,,,4-5-2004
1002414,013-5792911,13.0,2130 AH,Bunnik,,199.0,3370 AD,Houten,Besloten Vennootschap met gewone structuur,2993LE,AMSTERDAM,22.0,4207HG,DEVENTER,NLD,030  2853499,,,4120.0,52242.0,,Installatie van verwarmings- en luchtbehandelingsapparatuur,Ingenieurs en overig technisch ontwerp en advies,,20-6-2016,17-3-1989,16-8-2003,3-5-2011
1002605,0251 - 493 921,49.0,3584 BN,Dordrecht,,94148.0,2800 AV,Elburg,Besloten Vennootschap met gewone structuur,6212XN,EINDHOVEN,67.0,3600BA,AALTEN,NLD,,,,43222.0,,,Grondverzet,,Beheer van onroerend goed,8-9-2010,31-5-1985,,15-3-2016
D-00035,0512 - 592956 ( ma t/m do),14.0,5800 GC,Tiel,,47.0,2130 AH,Rotterdam,Besloten Vennootschap met gewone structuur,5928PW,RIDDERKERK,75.0,4900AC,NEDERWEERT,NLD,050  3185333,,m,2893.0,,,"Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen",Uitleenbureaus,Concerndiensten binnen eigen concern,12-11-2009,30-5-2005,27-2-1973,12-8-2016
K60419,073 - 648 4111,2.0,1704 RN,Emmeloord,072-750 35 10,7.0,3295 KH,Kesteren,Besloten Vennootschap met gewone structuur,7575AP,GRONINGEN,10.0,4730AA,MIERLO,NLD,030  6598966,,m,8411.0,6420.0,,Ingenieurs en overig technisch ontwerp en advies,,Heien en andere funderingswerkzaamheden,29-12-2009,,,1-5-1890
K60789,0165 - 530499 (ma - wo),37.0,9503 JA,Nieuwegein,,100.0,8013 PZ,Oldenzaal,Besloten Vennootschap met gewone structuur,8911KZ,ROSMALEN,2.0,7002GJ,'S-GRAVENHAGE,NLD,0164 277236,,,8411.0,,,Algemeen overheidsbestuur,Uitleenbureaus,,19-12-2007,23-12-1986,,25-1-2007
D-00075,,619.0,3565 AN,Woerden,,13.0,3600 BA,Sassenheim,Besloten Vennootschap met gewone structuur,4941VL,BEEK EN DONK,211.0,8260AC,OUDERKERK AAN DE AMSTEL,NLD,038  4560456,,m,71202.0,43221.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,23-6-2015,10-12-1969,5-1-1973,20-1-1997
1000780,026 - 8001900,6.0,4630 AB,Haarlem,,2265.0,7521 PH,Eindhoven,Publiekrechtelijke rechtspersoon,7556BN,HALSTEREN,17.0,5741RR,GRONINGEN,NLD,088  3366333,,m,32991.0,43221.0,,Algemene burgerlijke en utiliteitsbouw,,,18-3-2010,,,1-5-1967
K60963,,524.0,5240 AE,Someren,,7.0,3584 BN,Rosmalen,Besloten Vennootschap met gewone structuur,5751BE,BREDA,5.0,9290AA,HARDINXVELD-GIESSENDAM,NLD,0165 524452,,,2790.0,46699.0,,Ingenieurs en overig technisch ontwerp en advies,,,10-8-2010,,,1-1-1990
K60582,073 - 5435111,1.0,8011 CT,Zoetermeer,,2308.0,1119 NT,Utrecht,Besloten Vennootschap met gewone structuur,4207HG,ROTTERDAM,1.0,3421BV,SPIJKENISSE,NLD,0575 565592,,m,33121.0,,,Uitleenbureaus,,,26-2-2009,5-3-1975,,1-1-1926
K60551,030 - 6096111,81.0,7521 PH,Veenendaal,,418.0,2800 AV,Deventer,Besloten Vennootschap met gewone structuur,1332BD,NEDERWEERT,16.0,2031CN,UTRECHT,NLD,040  7113500,,,2822.0,,,Vervaardiging van machines voor de productie van voedings- en genotmiddelen,Ingenieurs en overig technisch ontwerp en advies,,27-9-2007,22-9-2011,,31-7-1967
1001475,,15.0,6710 AE,Heerhugowaard,0488 482215,166.0,2841 MJ,'s-Heerenberg,Publiekrechtelijke rechtspersoon,4815PN,BUNNIK,10.0,3130KE,AALTEN,NLD,033  2478080,,m,4110.0,4662.0,,"Vervaardiging van meet-, regel-, navigatie- en controleapparatuur",Landschapsverzorging,,19-6-2007,27-10-2010,,9-9-1964
D-00058,078 6417222,50.0,1059 CB,Roermond,,81.0,3330 AA,Gorinchem,Besloten Vennootschap met gewone structuur,8161RK,TILBURG,67.0,5692DJ,ROERMOND,NLD,0342 425151,,m,7112.0,,,Elektrotechnische bouwinstallatie,Uitleenbureaus,,10-4-2007,9-3-1990,22-5-1989,1-1-1997
1001674,0525 659888,313.0,6590 HD,Maarssen,,4.0,3515 ET,Heerlen,Besloten Vennootschap met gewone structuur,7418ET,AMSTERDAM,18.0,3500CE,UDENHOUT,NLD,030  2853030,,,88103.0,,,Vervaardiging van machines voor de bouw en winning van delfstoffen,,,25-4-2007,29-5-1998,,1-9-2005
D-00018,,998.0,2509 JE,Maastricht,,40.0,7000 AE,Wijchen,Besloten Vennootschap met gewone structuur,8232ZX,UTRECHT,5.0,1332AT,VENLO,NLD,0184 413288,,m,2221.0,,,Organisatie-adviesbureaus,,,,20-12-1991,,31-5-1993
D-00156,0653670504,3.0,3195 ND,Breda,,8.0,2496 XA,Rotterdam,Besloten Vennootschap met gewone structuur,,SOMEREN,50.0,6800LE,MAARSSEN,NLD,030  6598966,,,42111.0,78202.0,,Algemeen overheidsbestuur,,,19-11-2015,27-2-1995,27-2-1973,4-5-2004
K60999,,118.0,3401 MP,Woudenberg,,47.0,3410 CA,Bunnik,Besloten Vennootschap met gewone structuur,3542DA,NIEUWEGEIN,118.0,1119NT,BEEK EN DONK,NLD,040  7870910,,,8411.0,,3812.0,Fotografie,Handel in eigen onroerend goed,,7-8-2008,20-12-1963,,27-10-1970
D-00206,(0344) 64 90 90 Arjan de Boer 06-52083499,91.0,1704 RD,Houten,,3095.0,3300 AC,Amsterdam,Besloten Vennootschap met gewone structuur,3371AS,BUNNIK,98.0,3442AB,ALMELO,NLD,088  8265300,,,7112.0,46735.0,43991.0,Ingenieurs en overig technisch ontwerp en advies,Overige dienstverlenende activiteiten op het gebied van informatietechnologie,Uitzendbureaus,23-12-2013,,,1-9-2006
K60437,041-3362926 ma t/m do 1 tot 4,22.0,6040 AX,Heesch,,78.0,8080 AA,Utrecht,Besloten Vennootschap met gewone structuur,5071ND,ELBURG,142.0,6600AA,GOUDA,NLD,074  2508577,0548 688888,,4321.0,78202.0,,Algemeen overheidsbestuur,Financiële holdings,,10-7-2007,31-12-1912,,1-1-1702
D-00200,,680.0,9745 EN,Venlo,,21113.0,3001 KD,Hoorn NH,Besloten Vennootschap met gewone structuur,2993LE,ZOETERMEER,27.0,5161GE,DOETINCHEM,NLD,020  4001240,,,42111.0,43221.0,,Ingenieurs en overig technisch ontwerp en advies,Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe),,12-4-2010,24-4-2012,,26-7-1991
K59469,040-2825540,8.0,3410 CA,Kaatsheuvel,,1155.0,5047 TM,Elst Gld,Besloten Vennootschap met gewone structuur,7681KA,DALFSEN,77.0,5928PH,AMERSFOORT,NLD,078  6321020,,,7112.0,,46722.0,Algemene burgerlijke en utiliteitsbouw,,Groothandel in ferrometalen en -halffabrikaten,14-2-2012,2-11-2009,,24-9-1951
K60898,,2124.0,3503 RD,Woerden,0162-460890,10100.0,5700 AD,Maarssen,Vennootschap onder firma,6713KR,HAREN GN,13.0,3500AT,KINDERDIJK,NLD,073  6155295,088 2228484,m,7112.0,46739.0,86922.0,Heien en andere funderingswerkzaamheden,,,24-6-2008,6-6-1989,25-1-2008,1-2-2000
1001654,013-5910160,623.0,3068 AX,Groningen,,12.0,3006 HK,Oosterwolde Fr,Besloten Vennootschap met gewone structuur,5633AC,UTRECHT,34.0,8302ZD,ROSMALEN,NLD,036  5499799,,m,4321.0,4312.0,4120.0,Algemeen overheidsbestuur,,,12-10-2015,,1-1-1996,23-7-1930
K10038,013 - 529 2626,415.0,5004 JB,Papendrecht,,6073.0,2800 AV,Nieuwegein,Besloten Vennootschap met gewone structuur,6171KP,ELST,306.0,3800AA,UTRECHT,NLD,0529 438383,,m,94997.0,,,Ingenieurs en overig technisch ontwerp en advies,,,24-10-2007,25-1-2008,29-11-2000,1-3-1985
K60840,023 - 7528000,3.0,3430 RA,Arnhem,,33100.0,2003 RR,Roosendaal,Publiekrechtelijke rechtspersoon,3195ND,HARDINXVELD-GIESSENDAM,22.0,1100DG,VROOMSHOOP,NLD,040  2484300,,,4614.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,Vervaardiging van metalen constructiewerken en delen daarvan,,18-3-2008,18-12-2006,21-4-2008,1-11-1967
K60528,020-3058500,2405.0,3340 AA,Bunnik,,210.0,5902 RD,Almere,Besloten Vennootschap met gewone structuur,3447GG,ZEELAND,9.0,5460AC,DELFT,NLD,020  6510800,,,4120.0,42111.0,,Ingenieurs en overig technisch ontwerp en advies,,Financiële holdings,15-3-2010,26-11-1953,3-11-1983,1657
K60955,038 8513009,1.0,5600 AH,Harderwijk,,187.0,9289 HH,Gorinchem,Besloten Vennootschap met gewone structuur,8232PH,HAAKSBERGEN,21.0,9200AH,EINDHOVEN,NLD,0184 661700,,,7112.0,43222.0,,Leggen van elektriciteits- en telecommunicatiekabels,,Financiële holdings,17-6-2013,12-7-2011,,1-7-2002
D-00113,,20.0,1566 ZG,Bunnik,078 6321055,51.0,3584 CX,Eindhoven,Besloten Vennootschap met gewone structuur,3481MH,ROTTERDAM,18.0,5710AA,ROTTERDAM,NLD,0346 588888,,m,4120.0,,,Reparatie en onderhoud van schepen,Uitleenbureaus,,27-10-2006,31-12-1976,,22-1-2015
1001753,038 - 4221411,67.0,9704 CH,Zwolle,,60.0,3526 KL,Maarssen,Vennootschap onder firma,3542DA,HEERLEN,24.0,3439MR,MAARSSEN,NLD,045  5466700,,,33121.0,,4120.0,Groothandel in gereedschapswerktuigen,,,1-8-2007,20-1-1997,,1-1-1997
K60875,0548 - 701361,6.0,9251 LV,Almere,,7.0,3068 AX,Apeldoorn,Eenmanszaak,3042HN,ZWOLLE,17.0,9750AA,KAATSHEUVEL,NLD,072  7503500,,,43222.0,,,,,Elektrotechnische bouwinstallatie,29-12-2004,,,1-1-2009
1001442,0548 68 88 88,10.0,3300 AE,Boxmeer,0320 278245,175.0,4043 JC,Roermond,Besloten Vennootschap met gewone structuur,8011CT,ROSMALEN,6.0,3980CA,VENLO,NLD,0183 626252,,m,4120.0,,,"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden n.e.g.",,,1-1-2009,7-3-2007,,1-11-1976
D-00008,033 2992939,623.0,6865 ZG,Rotterdam,,37.0,3400 AA,Eindhoven,Besloten Vennootschap blijkens statuten structuurvennootschap,3439LM,VALKENSWAARD,25.0,1566ZG,ROSMALEN,NLD,0182 547500,,,4120.0,42111.0,,Ingenieurs en overig technisch ontwerp en advies,,,18-9-2006,,,15-6-1999
K60423,055 - 5059200,41.0,5047 TM,Bunschoten Spakenburg,,15.0,3360 AP,Zwolle,Besloten Vennootschap met gewone structuur,7451PJ,BUNNIK,224.0,8000AT,KOOTSTERTILLE,NLD,0511 548111,,,,,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,,29-6-2009,21-5-2010,,17-11-1998
D-00183,0516 520 948,84.0,6190 AA,Bunnik,onbekend,90.0,8071 DA,Ouderkerk aan de Amstel,Eenmanszaak,7122LB,DEVENTER,6501.0,5240AB,ROSMALEN,NLD,020  3050940,,,7112.0,,78202.0,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",Interieurreiniging van gebouwen,,14-12-2007,16-3-1971,12-5-2005,1-3-1976
D-00096,052  - 9433790,18.0,3812 RE,Wijchen,,16.0,5360 AA,Harderwijk,Besloten Vennootschap met gewone structuur,4811ZW,ROTTERDAM,57.0,8200AB,NIEUWEGEIN,NLD,0591 685555,,,8411.0,,,Bouw van kunstwerken,Inzameling van onschadelijk afval,,26-1-2015,5-5-1976,30-5-2011,16-12-1998
1001906,0485-586111,161.0,9422 GT,Rotterdam,,415.0,5240 AK,Kootstertille,Besloten Vennootschap met gewone structuur,5803AP,AMSTERDAM,34.0,3004EB,ZWOLLE,NLD,033  2859950,,m,2899.0,7112.0,,Ingenieurs en overig technisch ontwerp en advies,,,28-11-2008,28-10-1912,2-10-2008,1-2-1993
K60860,,400.0,3042 HN,Eindhoven,,68.0,7345 AS,Rijssen,Besloten Vennootschap met gewone structuur,3542DA,ASSENDELFT,30.0,3006HC,TIEL,NLD,043  3661661,,,7112.0,85592.0,,Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen gereedschap),,,8-11-2011,,,29-12-1970
